Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,cluster,Latitude,Longitude,City Based on Longitude Latitude
Indonesia,Trenggalek,39,Good,1,Good,25,Good,0,Good,39,Good,3,-8.13593475,111.6401983,"-8.13593475, 111.6401983"
Indonesia,Pangkalanbuun,28,Good,0,Good,15,Good,0,Good,28,Good,3,-2.688962,111.622398,"-2.688962, 111.622398"
Indonesia,Banjaran,195,Unhealthy,10,Good,10,Good,27,Good,195,Unhealthy,2,-7.1551975,110.0507301,"-7.1551975, 110.0507301"
Indonesia,Ciamis,60,Moderate,1,Good,36,Good,0,Good,60,Moderate,3,-7.3131593,108.4048938,"-7.3131593, 108.4048938"
Indonesia,Ciawi,195,Unhealthy,4,Good,195,Unhealthy,3,Good,155,Unhealthy,4,-7.1586313,108.1475296,"-7.1586313, 108.1475296"
Indonesia,Cilegon,182,Unhealthy,3,Good,182,Unhealthy,3,Good,145,Unhealthy for Sensitive Groups,4,-6.017389,106.0537688,"-6.017389, 106.0537688"
Indonesia,Godean,162,Unhealthy,6,Good,14,Good,17,Good,162,Unhealthy,2,-7.7674666,110.2960501,"-7.7674666, 110.2960501"
Indonesia,Jepara,132,Unhealthy for Sensitive Groups,3,Good,9,Good,14,Good,132,Unhealthy for Sensitive Groups,2,-6.5899148,110.6672987,"-6.5899148, 110.6672987"
Indonesia,Kadungora,212,Very Unhealthy,12,Good,2,Good,32,Good,212,Very Unhealthy,2,-7.0899289,107.8864302,"-7.0899289, 107.8864302"
Indonesia,Ketanggungan,161,Unhealthy,7,Good,17,Good,16,Good,161,Unhealthy,2,-6.9375405,108.8860305,"-6.9375405, 108.8860305"
Indonesia,Yogyakarta,54,Moderate,1,Good,27,Good,0,Good,54,Moderate,3,-7.9778384,110.3672257,"-7.9778384, 110.3672257"
Indonesia,Sampit,45,Good,1,Good,17,Good,0,Good,45,Good,3,-2.5389113,112.949389,"-2.5389113, 112.949389"
Indonesia,Sragen,66,Moderate,1,Good,37,Good,0,Good,66,Moderate,0,-7.3924563,110.9530232,"-7.3924563, 110.9530232"
Indonesia,Pare,78,Moderate,1,Good,43,Good,0,Good,78,Moderate,0,-7.7688607,112.1964706,"-7.7688607, 112.1964706"
Indonesia,Pemalang,100,Unhealthy for Sensitive Groups,2,Good,51,Moderate,1,Good,100,Unhealthy for Sensitive Groups,0,-7.0110802,109.3914037,"-7.0110802, 109.3914037"
Indonesia,Taman,124,Unhealthy for Sensitive Groups,1,Good,39,Good,1,Good,124,Unhealthy for Sensitive Groups,0,-7.3631369,112.675662,"-7.3631369, 112.675662"
Indonesia,Ende,23,Good,1,Good,23,Good,0,Good,16,Good,3,-8.6728675,121.6929173,"-8.6728675, 121.6929173"
Indonesia,Banda Aceh,17,Good,0,Good,17,Good,0,Good,17,Good,3,5.5528455,95.3192908,"5.5528455, 95.3192908"
Indonesia,Plumbon,54,Moderate,1,Good,39,Good,0,Good,54,Moderate,3,-7.8959669,110.0901953,"-7.8959669, 110.0901953"
Indonesia,Gambiran,37,Good,1,Good,24,Good,0,Good,37,Good,3,-6.9650973,110.2775538,"-6.9650973, 110.2775538"
Indonesia,Gampengrejo,73,Moderate,1,Good,38,Good,0,Good,73,Moderate,0,-7.76639945,112.0352596,"-7.76639945, 112.0352596"
Indonesia,Gempol,158,Unhealthy,2,Good,73,Moderate,1,Good,158,Unhealthy,1,-6.7045979,108.4185871,"-6.7045979, 108.4185871"
Indonesia,Loa Janan,54,Moderate,1,Good,15,Good,0,Good,54,Moderate,3,-0.585182,117.1095104,"-0.585182, 117.1095104"
Indonesia,Manokwari,10,Good,0,Good,10,Good,0,Good,10,Good,3,-0.9776762,133.7538039,"-0.9776762, 133.7538039"
Indonesia,Paseh,66,Moderate,1,Good,41,Good,0,Good,66,Moderate,0,-7.3438348,109.6666534,"-7.3438348, 109.6666534"
Indonesia,Singkang,34,Good,1,Good,19,Good,0,Good,34,Good,3,-4.139758,120.030701,"-4.139758, 120.030701"
Indonesia,Singkawang,61,Moderate,1,Good,14,Good,0,Good,61,Moderate,3,0.9069861,108.9889657,"0.9069861, 108.9889657"
Indonesia,Negara,67,Moderate,3,Good,21,Good,3,Good,67,Moderate,0,-8.356944,114.616944,"-8.356944, 114.616944"
Indonesia,Panarukan,85,Moderate,3,Good,17,Good,4,Good,85,Moderate,0,-7.6949745,113.9362263,"-7.6949745, 113.9362263"
Indonesia,Babakan,54,Moderate,1,Good,34,Good,0,Good,54,Moderate,3,-6.9329907,107.5765974,"-6.9329907, 107.5765974"
Indonesia,Cileunyi,64,Moderate,1,Good,37,Good,1,Good,64,Moderate,0,-6.9454616,107.7466656,"-6.9454616, 107.7466656"
Indonesia,Tomohon,24,Good,1,Good,16,Good,0,Good,24,Good,3,1.3255914,124.838605,"1.3255914, 124.838605"
Indonesia,Bengkalis,38,Good,1,Good,19,Good,0,Good,38,Good,3,1.76972265,101.9124384,"1.76972265, 101.9124384"
Indonesia,Cidahu,112,Unhealthy for Sensitive Groups,2,Good,88,Moderate,1,Good,112,Unhealthy for Sensitive Groups,1,-6.7671739,106.7300741,"-6.7671739, 106.7300741"
Indonesia,Delanggu,208,Very Unhealthy,13,Good,3,Good,24,Good,208,Very Unhealthy,2,-7.6160548,110.7002444,"-7.6160548, 110.7002444"
Indonesia,Srono,90,Moderate,3,Good,18,Good,4,Good,90,Moderate,0,-8.4018445,114.2638458,"-8.4018445, 114.2638458"
Indonesia,Kepanjen,41,Good,1,Good,26,Good,0,Good,41,Good,3,-8.1320077,112.5733026,"-8.1320077, 112.5733026"
Indonesia,Kawalu,58,Moderate,1,Good,34,Good,0,Good,58,Moderate,3,-1.9593,123.8495,"-1.9593, 123.8495"
Indonesia,Tangerang,201,Very Unhealthy,5,Good,201,Very Unhealthy,3,Good,167,Unhealthy,4,-6.1761924,106.6382161,"-6.1761924, 106.6382161"
Indonesia,Bae,80,Moderate,2,Good,69,Moderate,1,Good,80,Moderate,0,-6.7832506,110.8672131,"-6.7832506, 110.8672131"
Indonesia,Cisarua,144,Unhealthy for Sensitive Groups,3,Good,144,Unhealthy for Sensitive Groups,1,Good,115,Unhealthy for Sensitive Groups,1,-6.70841215,106.962275,"-6.70841215, 106.962275"
Indonesia,Wonogiri,51,Moderate,1,Good,28,Good,0,Good,51,Moderate,3,-7.9620507,110.9575733,"-7.9620507, 110.9575733"
Indonesia,Gorontalo,25,Good,0,Good,15,Good,0,Good,25,Good,3,0.7186174,122.4555927,"0.7186174, 122.4555927"
Indonesia,Purbalingga,66,Moderate,1,Good,44,Good,1,Good,66,Moderate,0,-7.32733005,109.3998987,"-7.32733005, 109.3998987"
Indonesia,Ceper,67,Moderate,1,Good,38,Good,1,Good,67,Moderate,0,-7.6731542,110.6778035,"-7.6731542, 110.6778035"
Indonesia,Maumere,60,Moderate,1,Good,26,Good,0,Good,60,Moderate,3,-8.6256456,122.2192885,"-8.6256456, 122.2192885"
Indonesia,Dampit,53,Moderate,1,Good,31,Good,0,Good,53,Moderate,3,-8.2129316,112.7512862,"-8.2129316, 112.7512862"
Indonesia,Bitung,28,Good,0,Good,15,Good,0,Good,28,Good,3,1.44344,125.1940836,"1.44344, 125.1940836"
Indonesia,Pekalongan,123,Unhealthy for Sensitive Groups,4,Good,123,Unhealthy for Sensitive Groups,1,Good,123,Unhealthy for Sensitive Groups,1,-7.04243905,109.6191607,"-7.04243905, 109.6191607"
Indonesia,Pemangkat,39,Good,1,Good,16,Good,0,Good,39,Good,3,1.156069,108.9712919,"1.156069, 108.9712919"
Indonesia,Babat,159,Unhealthy,3,Good,135,Unhealthy for Sensitive Groups,1,Good,159,Unhealthy,1,-3.46381,104.3517917,"-3.46381, 104.3517917"
Indonesia,Kresek,203,Very Unhealthy,4,Good,203,Very Unhealthy,4,Good,158,Unhealthy,4,-6.14836555,106.4031377,"-6.14836555, 106.4031377"
Indonesia,Sewon,67,Moderate,1,Good,36,Good,1,Good,67,Moderate,0,-7.85615635,110.352463,"-7.85615635, 110.352463"
Indonesia,Semarang,160,Unhealthy,5,Good,17,Good,17,Good,160,Unhealthy,2,-6.9903988,110.4229104,"-6.9903988, 110.4229104"
Indonesia,Rangkasbitung,225,Very Unhealthy,11,Good,9,Good,63,Moderate,225,Very Unhealthy,2,-6.3526482,106.2515306,"-6.3526482, 106.2515306"
Indonesia,Rantauprapat,97,Moderate,3,Good,2,Good,5,Good,97,Moderate,0,2.1053549,99.82025095,"2.1053549, 99.82025095"
Indonesia,Buaran,152,Unhealthy,5,Good,27,Good,9,Good,152,Unhealthy,2,-6.3415273,106.6924994,"-6.3415273, 106.6924994"
Indonesia,Soreang,188,Unhealthy,10,Good,5,Good,27,Good,188,Unhealthy,2,-7.0268685,107.5167964,"-7.0268685, 107.5167964"
Indonesia,Grogol,170,Unhealthy,6,Good,7,Good,21,Good,170,Unhealthy,2,-7.9840459,110.5327027,"-7.9840459, 110.5327027"
Indonesia,Pecangakan,150,Unhealthy,3,Good,10,Good,16,Good,150,Unhealthy,2,-6.9170184,109.1113493,"-6.9170184, 109.1113493"
Indonesia,Dumai,70,Moderate,2,Good,16,Good,0,Good,70,Moderate,0,1.6631967,101.4470369,"1.6631967, 101.4470369"
Indonesia,Lahat,109,Unhealthy for Sensitive Groups,4,Good,3,Good,6,Good,109,Unhealthy for Sensitive Groups,0,-3.87934575,103.4140863,"-3.87934575, 103.4140863"
Indonesia,Lhokseumawe,88,Moderate,2,Good,21,Good,2,Good,88,Moderate,0,5.1789659,97.1480544,"5.1789659, 97.1480544"
Indonesia,Samarinda,57,Moderate,1,Good,7,Good,2,Good,57,Moderate,3,-0.5017804,117.1393089,"-0.5017804, 117.1393089"
Indonesia,Sampang,53,Moderate,1,Good,20,Good,0,Good,53,Moderate,3,-7.05781575,113.2540541,"-7.05781575, 113.2540541"
Indonesia,Cikeruh,76,Moderate,1,Good,39,Good,1,Good,76,Moderate,0,-6.9323493,107.7781928,"-6.9323493, 107.7781928"
Indonesia,Cimahi,104,Unhealthy for Sensitive Groups,2,Good,93,Moderate,1,Good,104,Unhealthy for Sensitive Groups,1,-6.8731527,107.5423099,"-6.8731527, 107.5423099"
Indonesia,Sigli,40,Good,1,Good,35,Good,0,Good,40,Good,3,5.3813126,95.957932,"5.3813126, 95.957932"
Indonesia,Situbondo,51,Moderate,1,Good,32,Good,0,Good,51,Moderate,3,-7.7067843,114.0054142,"-7.7067843, 114.0054142"
Indonesia,Lawang,83,Moderate,2,Good,40,Good,1,Good,83,Moderate,0,-7.8366237,112.6977587,"-7.8366237, 112.6977587"
Indonesia,Magelang,60,Moderate,1,Good,32,Good,0,Good,60,Moderate,3,-7.51361445,110.2145133,"-7.51361445, 110.2145133"
Indonesia,Nabire,24,Good,1,Good,7,Good,0,Good,24,Good,3,-3.360285,135.5023653,"-3.360285, 135.5023653"
Indonesia,Pedan,193,Unhealthy,10,Good,6,Good,20,Good,193,Unhealthy,2,-7.6918699,110.703215,"-7.6918699, 110.703215"
Indonesia,Waru,155,Unhealthy,3,Good,117,Unhealthy for Sensitive Groups,1,Good,155,Unhealthy,1,-5.583333,132.308333,"-5.583333, 132.308333"
Indonesia,Kanigoro,38,Good,1,Good,24,Good,0,Good,38,Good,3,-8.1036772,110.5167683,"-8.1036772, 110.5167683"
Indonesia,Kedungwuni,83,Moderate,2,Good,46,Good,1,Good,83,Moderate,0,-6.9624914,109.6437468,"-6.9624914, 109.6437468"
Indonesia,Comal,102,Unhealthy for Sensitive Groups,2,Good,55,Moderate,1,Good,102,Unhealthy for Sensitive Groups,0,-6.8972278,109.5397404,"-6.8972278, 109.5397404"
Indonesia,Gondanglegi,50,Good,1,Good,29,Good,0,Good,50,Good,3,-8.1768283,112.6375967,"-8.1768283, 112.6375967"
Indonesia,Garut,69,Moderate,1,Good,33,Good,1,Good,69,Moderate,0,-7.2162543,107.9014912,"-7.2162543, 107.9014912"
Indonesia,Karangasem,44,Good,1,Good,26,Good,0,Good,44,Good,3,-8.35863175,115.5472581,"-8.35863175, 115.5472581"
Indonesia,Karawang,124,Unhealthy for Sensitive Groups,3,Good,124,Unhealthy for Sensitive Groups,1,Good,91,Moderate,1,-6.3021906,107.3046116,"-6.3021906, 107.3046116"
Indonesia,Serang,195,Unhealthy,4,Good,195,Unhealthy,3,Good,161,Unhealthy,4,-6.10549695,105.9884713,"-6.10549695, 105.9884713"
Indonesia,Perbaungan,76,Moderate,2,Good,41,Good,0,Good,76,Moderate,0,3.5674287,98.956266,"3.5674287, 98.956266"
Indonesia,Jogonalan,59,Moderate,1,Good,28,Good,1,Good,59,Moderate,3,-7.8291024,110.3510395,"-7.8291024, 110.3510395"
