Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,cluster,Latitude,Longitude,City Based on Longitude Latitude
Indonesia,Pandak,56,Moderate,1,Good,34,Good,0,Good,56,Moderate,3,-2.5064514,120.3381188,"-2.5064514, 120.3381188"
Indonesia,Panji,52,Moderate,1,Good,32,Good,0,Good,52,Moderate,3,-7.6939482,114.042174,"-7.6939482, 114.042174"
Indonesia,Bondowoso,47,Good,1,Good,29,Good,0,Good,47,Good,3,-7.9451279,113.882059,"-7.9451279, 113.882059"
Indonesia,Kisaran,71,Moderate,2,Good,36,Good,0,Good,71,Moderate,0,2.9838982,99.6288041,"2.9838982, 99.6288041"
Indonesia,Padalarang,103,Unhealthy for Sensitive Groups,2,Good,81,Moderate,1,Good,103,Unhealthy for Sensitive Groups,0,-6.8423673,107.4970415,"-6.8423673, 107.4970415"
Indonesia,Cicalengka,101,Unhealthy for Sensitive Groups,2,Good,63,Moderate,1,Good,101,Unhealthy for Sensitive Groups,0,-6.9815914,107.8327237,"-6.9815914, 107.8327237"
Indonesia,Ciomas,137,Unhealthy for Sensitive Groups,3,Good,121,Unhealthy for Sensitive Groups,2,Good,137,Unhealthy for Sensitive Groups,1,-7.2188235,108.9015858,"-7.2188235, 108.9015858"
Indonesia,Purwokerto,178,Unhealthy,9,Good,14,Good,22,Good,178,Unhealthy,2,-7.4279011,109.2408501,"-7.4279011, 109.2408501"
Indonesia,Jatiroto,163,Unhealthy,6,Good,10,Good,13,Good,163,Unhealthy,2,-7.8819378,111.1011583,"-7.8819378, 111.1011583"
Indonesia,Kefamenanu,70,Moderate,1,Good,16,Good,0,Good,70,Moderate,0,-9.4466443,124.478044,"-9.4466443, 124.478044"
Indonesia,Banyuwangi,101,Unhealthy for Sensitive Groups,3,Good,19,Good,4,Good,101,Unhealthy for Sensitive Groups,0,-8.3325711,114.141579,"-8.3325711, 114.141579"
Indonesia,Gamping,164,Unhealthy,6,Good,12,Good,18,Good,164,Unhealthy,2,-7.78431425,110.3322103,"-7.78431425, 110.3322103"
Indonesia,Labuhan,176,Unhealthy,3,Good,176,Unhealthy,1,Good,137,Unhealthy for Sensitive Groups,4,-7.222456,113.0783934,"-7.222456, 113.0783934"
Indonesia,Nganjuk,172,Unhealthy,6,Good,6,Good,19,Good,172,Unhealthy,2,-7.61501615,111.9465075,"-7.61501615, 111.9465075"
Indonesia,Ambon,27,Good,0,Good,14,Good,0,Good,27,Good,3,-3.654703,128.190643,"-3.654703, 128.190643"
Indonesia,Kraksaan,69,Moderate,2,Good,40,Good,1,Good,69,Moderate,0,-7.7605736,113.4164516,"-7.7605736, 113.4164516"
Indonesia,Kroya,64,Moderate,1,Good,40,Good,1,Good,64,Moderate,0,-7.6299479,109.2540488,"-7.6299479, 109.2540488"
Indonesia,Poso,23,Good,1,Good,11,Good,0,Good,23,Good,3,-1.6568513,120.5421575,"-1.6568513, 120.5421575"
Indonesia,Temanggung,87,Moderate,2,Good,58,Moderate,1,Good,87,Moderate,0,-7.2397576,110.1216648,"-7.2397576, 110.1216648"
Indonesia,Weru,68,Moderate,2,Good,49,Good,0,Good,68,Moderate,0,-7.7754315,110.7580914,"-7.7754315, 110.7580914"
Indonesia,Stabat,55,Moderate,2,Good,41,Good,0,Good,55,Moderate,3,3.7546297,98.4581085,"3.7546297, 98.4581085"
Indonesia,Trucuk,66,Moderate,1,Good,35,Good,1,Good,66,Moderate,0,-7.12151435,111.8444006,"-7.12151435, 111.8444006"
Indonesia,Payakumbuh,61,Moderate,1,Good,25,Good,0,Good,61,Moderate,3,-0.2242687,100.6319419,"-0.2242687, 100.6319419"
Indonesia,Tanggulangin,165,Unhealthy,3,Good,111,Unhealthy for Sensitive Groups,1,Good,165,Unhealthy,1,-7.7703052,109.6317181,"-7.7703052, 109.6317181"
Indonesia,Randudongkal,188,Unhealthy,11,Good,8,Good,26,Good,188,Unhealthy,2,-7.1029102,109.3250826,"-7.1029102, 109.3250826"
Indonesia,Lasem,93,Moderate,2,Good,52,Moderate,1,Good,93,Moderate,0,-6.6921161,111.451562,"-6.6921161, 111.451562"
Indonesia,Karangampel,72,Moderate,1,Good,44,Good,0,Good,72,Moderate,0,-6.4635466,108.4402332,"-6.4635466, 108.4402332"
Indonesia,Madiun,169,Unhealthy,6,Good,3,Good,20,Good,169,Unhealthy,2,-7.61188765,111.6731926,"-7.61188765, 111.6731926"
Indonesia,Margasari,187,Unhealthy,10,Good,8,Good,25,Good,187,Unhealthy,2,-6.9541103,107.6573919,"-6.9541103, 107.6573919"
Indonesia,Tasikmalaya,56,Moderate,1,Good,27,Good,0,Good,56,Moderate,3,-7.42717075,108.0684231,"-7.42717075, 108.0684231"
Indonesia,Purwodadi,69,Moderate,1,Good,49,Good,0,Good,69,Moderate,0,-8.3625137,112.8515518,"-8.3625137, 112.8515518"
Indonesia,Pati,79,Moderate,2,Good,67,Moderate,1,Good,79,Moderate,0,-6.7535936,111.0393497,"-6.7535936, 111.0393497"
Indonesia,Astanajapura,61,Moderate,1,Good,36,Good,0,Good,61,Moderate,3,-6.7903546,108.6193921,"-6.7903546, 108.6193921"
Indonesia,Cikarang,132,Unhealthy for Sensitive Groups,3,Good,132,Unhealthy for Sensitive Groups,1,Good,127,Unhealthy for Sensitive Groups,1,-6.2587148,107.145742,"-6.2587148, 107.145742"
Indonesia,Batu,78,Moderate,1,Good,35,Good,1,Good,78,Moderate,0,-7.8711667,112.5269482,"-7.8711667, 112.5269482"
Indonesia,Sawangan,205,Very Unhealthy,5,Good,205,Very Unhealthy,4,Good,171,Unhealthy,4,-7.49376795,110.3923583,"-7.49376795, 110.3923583"
Indonesia,Denpasar,39,Good,1,Good,24,Good,0,Good,39,Good,3,-8.6524973,115.2191175,"-8.6524973, 115.2191175"
Indonesia,Sooko,140,Unhealthy for Sensitive Groups,2,Good,71,Moderate,1,Good,140,Unhealthy for Sensitive Groups,1,-7.48946,112.4251891,"-7.48946, 112.4251891"
Indonesia,Jatiwangi,63,Moderate,1,Good,37,Good,1,Good,63,Moderate,0,-6.7344859,108.2553794,"-6.7344859, 108.2553794"
Indonesia,Soe,21,Good,0,Good,19,Good,0,Good,21,Good,3,-9.860471,124.2771,"-9.860471, 124.2771"
Indonesia,Blora,81,Moderate,2,Good,69,Moderate,1,Good,81,Moderate,0,-6.9691528,111.4130521,"-6.9691528, 111.4130521"
Indonesia,Majalaya,84,Moderate,2,Good,48,Good,1,Good,84,Moderate,0,-7.0495197,107.7615982,"-7.0495197, 107.7615982"
Indonesia,Palimanan,67,Moderate,1,Good,48,Good,1,Good,67,Moderate,0,-6.7088893,108.431734,"-6.7088893, 108.431734"
Indonesia,Labuhan Deli,103,Unhealthy for Sensitive Groups,2,Good,63,Moderate,1,Good,103,Unhealthy for Sensitive Groups,0,3.7316806,98.6734915,"3.7316806, 98.6734915"
Indonesia,Tarakan,21,Good,1,Good,11,Good,0,Good,21,Good,3,3.3000169,117.6330159,"3.3000169, 117.6330159"
Indonesia,Pasarkemis,249,Very Unhealthy,11,Good,10,Good,49,Good,249,Very Unhealthy,2,-6.1719337,106.562309,"-6.1719337, 106.562309"
Indonesia,Sumedang,67,Moderate,1,Good,37,Good,0,Good,67,Moderate,0,-6.80987135,107.9817732,"-6.80987135, 107.9817732"
Indonesia,Metro,63,Moderate,1,Good,39,Good,0,Good,63,Moderate,0, -5.11306,105.30667," -5.11306, 105.30667"
Indonesia,Kertosono,169,Unhealthy,5,Good,10,Good,15,Good,169,Unhealthy,2,-7.5921805,112.1006422,"-7.5921805, 112.1006422"
Indonesia,Porong,166,Unhealthy,3,Good,11,Good,9,Good,166,Unhealthy,2,-7.53058075,112.6991581,"-7.53058075, 112.6991581"
Indonesia,Ungaran,76,Moderate,1,Good,42,Good,1,Good,76,Moderate,0,-7.1290892,110.4038912,"-7.1290892, 110.4038912"
Indonesia,Jetis,63,Moderate,1,Good,30,Good,1,Good,63,Moderate,3,-7.4159255,112.4727134,"-7.4159255, 112.4727134"
Indonesia,Ngawi,73,Moderate,1,Good,40,Good,0,Good,73,Moderate,0,-7.4422788,111.3869462,"-7.4422788, 111.3869462"
Indonesia,Langsa,72,Moderate,1,Good,38,Good,0,Good,72,Moderate,0,4.4730892,97.9681841,"4.4730892, 97.9681841"
Indonesia,Solok,61,Moderate,1,Good,32,Good,0,Good,61,Moderate,3,-0.93223105,100.8038499,"-0.93223105, 100.8038499"
Indonesia,Kemang,95,Moderate,2,Good,90,Moderate,1,Good,95,Moderate,0,-3.3949445,104.361537,"-3.3949445, 104.361537"
Indonesia,Lembang,194,Unhealthy,9,Good,12,Good,26,Good,194,Unhealthy,2,-6.8111033,107.6171239,"-6.8111033, 107.6171239"
Indonesia,Mendahara,76,Moderate,2,Good,37,Good,0,Good,76,Moderate,0,-0.9556509,103.6797702,"-0.9556509, 103.6797702"
Indonesia,Subang,88,Moderate,2,Good,86,Moderate,1,Good,88,Moderate,0,-6.571589,107.758736,"-6.571589, 107.758736"
Indonesia,Pangkah,91,Moderate,2,Good,46,Good,1,Good,91,Moderate,0,-6.979205,109.1675685,"-6.979205, 109.1675685"
Indonesia,Surakarta,69,Moderate,1,Good,41,Good,1,Good,69,Moderate,0,-7.5692489,110.828448,"-7.5692489, 110.828448"
Indonesia,Ponorogo,42,Good,1,Good,26,Good,0,Good,42,Good,3,-7.97122665,111.4988929,"-7.97122665, 111.4988929"
Indonesia,Tanjung Morawa,72,Moderate,2,Good,42,Good,0,Good,72,Moderate,0,3.5173404,98.7926727,"3.5173404, 98.7926727"
Indonesia,Baki,60,Moderate,1,Good,33,Good,0,Good,60,Moderate,3,-7.606004,110.78464,"-7.606004, 110.78464"
Indonesia,Pasuruan,99,Moderate,1,Good,43,Good,1,Good,99,Moderate,0,-7.6399593,112.9070632,"-7.6399593, 112.9070632"
Indonesia,Plered,116,Unhealthy for Sensitive Groups,3,Good,116,Unhealthy for Sensitive Groups,1,Good,112,Unhealthy for Sensitive Groups,1,-6.6366997,107.3963292,"-6.6366997, 107.3963292"
Indonesia,Ngawen,60,Moderate,1,Good,33,Good,0,Good,60,Moderate,3,-7.83636495,110.6832724,"-7.83636495, 110.6832724"
Indonesia,Pundong,160,Unhealthy,5,Good,16,Good,15,Good,160,Unhealthy,2,-7.5754349,112.2181746,"-7.5754349, 112.2181746"
Indonesia,Wonopringgo,163,Unhealthy,6,Good,21,Good,14,Good,163,Unhealthy,2,-6.9891917,109.6306792,"-6.9891917, 109.6306792"
Indonesia,Majenang,62,Moderate,1,Good,41,Good,1,Good,62,Moderate,0,-7.2987025,108.7625912,"-7.2987025, 108.7625912"
Indonesia,Cikampek,116,Unhealthy for Sensitive Groups,3,Good,116,Unhealthy for Sensitive Groups,1,Good,93,Moderate,1,-6.4064976,107.4588164,"-6.4064976, 107.4588164"
Indonesia,Galesong,46,Good,1,Good,26,Good,0,Good,46,Good,3,-5.33422455,119.3783543,"-5.33422455, 119.3783543"
Indonesia,Baturaja,68,Moderate,2,Good,38,Good,0,Good,68,Moderate,0,-4.1270552,104.1619482,"-4.1270552, 104.1619482"
Indonesia,Blitar,39,Good,1,Good,25,Good,0,Good,39,Good,3,-8.0982442,112.1650769,"-8.0982442, 112.1650769"
Indonesia,Bengkulu,75,Moderate,2,Good,37,Good,0,Good,75,Moderate,0,-3.5186763,102.5359834,"-3.5186763, 102.5359834"
Indonesia,Biak,15,Good,0,Good,15,Good,0,Good,5,Good,3,-1.1836086,136.0816321,"-1.1836086, 136.0816321"
Indonesia,Mundu,55,Moderate,1,Good,41,Good,0,Good,55,Moderate,3,-7.5948593,110.5698992,"-7.5948593, 110.5698992"
Indonesia,Jeluko,80,Moderate,2,Good,49,Good,1,Good,80,Moderate,0,-6.5863305,110.9882855,"-6.5863305, 110.9882855"
Indonesia,Kadipaten,63,Moderate,1,Good,37,Good,0,Good,63,Moderate,0,-7.80783795,110.3591871,"-7.80783795, 110.3591871"
Indonesia,Indramayu,98,Moderate,2,Good,29,Good,2,Good,98,Moderate,0,-4.0517644,103.7798337,"-4.0517644, 103.7798337"
Indonesia,Bandar,51,Moderate,1,Good,22,Good,0,Good,51,Moderate,3,-5.39714,105.2666667,"-5.39714, 105.2666667"
Indonesia,Serpong,297,Very Unhealthy,14,Good,10,Good,51,Moderate,297,Very Unhealthy,2,-6.3131287,106.6807393,"-6.3131287, 106.6807393"
Indonesia,Kedungwaru,51,Moderate,1,Good,30,Good,0,Good,51,Moderate,3,-7.0070188,111.2132382,"-7.0070188, 111.2132382"
Indonesia,Tulangan,164,Unhealthy,3,Good,10,Good,10,Good,164,Unhealthy,2,-7.465521,112.6510714,"-7.465521, 112.6510714"
Indonesia,Arjawinangun,68,Moderate,2,Good,57,Moderate,1,Good,68,Moderate,0,-6.64465925,108.4145317,"-6.64465925, 108.4145317"
Indonesia,Magetan,42,Good,1,Good,26,Good,0,Good,42,Good,3,-7.6542489,111.3360565,"-7.6542489, 111.3360565"
Indonesia,Singaparna,52,Moderate,1,Good,29,Good,0,Good,52,Moderate,3,-7.3499098,108.1107502,"-7.3499098, 108.1107502"
Indonesia,Jati,81,Moderate,2,Good,49,Good,1,Good,81,Moderate,0,-6.827972,110.831334,"-6.827972, 110.831334"
Indonesia,Bireun,74,Moderate,1,Good,31,Good,0,Good,74,Moderate,0,5.2056495,96.70252045,"5.2056495, 96.70252045"
Indonesia,Tabanan,39,Good,1,Good,24,Good,0,Good,39,Good,3,-8.43958865,115.0718666,"-8.43958865, 115.0718666"
Indonesia,Tarub,86,Moderate,2,Good,49,Good,0,Good,86,Moderate,0,-7.0697079,111.018337,"-7.0697079, 111.018337"
Indonesia,Pakisaji,23,Good,0,Good,22,Good,0,Good,23,Good,3,-8.063178,112.6002477,"-8.063178, 112.6002477"
Indonesia,Bantul,46,Good,1,Good,25,Good,0,Good,46,Good,3,-7.89825435,110.3855534,"-7.89825435, 110.3855534"
Indonesia,Slawi,92,Moderate,2,Good,86,Moderate,1,Good,92,Moderate,0,-6.9829139,109.1363731,"-6.9829139, 109.1363731"
Indonesia,Curup,69,Moderate,1,Good,29,Good,0,Good,69,Moderate,0,-3.3354163,104.1518866,"-3.3354163, 104.1518866"
Indonesia,Gondang,177,Unhealthy,7,Good,9,Good,17,Good,177,Unhealthy,2,-7.6118226,112.4893247,"-7.6118226, 112.4893247"
Indonesia,Jakarta,197,Unhealthy,4,Good,197,Unhealthy,3,Good,155,Unhealthy,4,-6.175247,106.8270488,"-6.175247, 106.8270488"
Indonesia,Kencong,54,Moderate,1,Good,32,Good,0,Good,54,Moderate,3,-8.2738223,113.3685667,"-8.2738223, 113.3685667"
Indonesia,Palu,50,Good,1,Good,7,Good,1,Good,50,Good,3,-0.9051548,119.8722373,"-0.9051548, 119.8722373"
Indonesia,Makasar,67,Moderate,2,Good,25,Good,1,Good,67,Moderate,0,-5.1342962,119.4124282,"-5.1342962, 119.4124282"
Indonesia,Rancaekek,207,Very Unhealthy,12,Good,3,Good,31,Good,207,Very Unhealthy,2,-6.9648801,107.7559578,"-6.9648801, 107.7559578"
Indonesia,Katobu,22,Good,0,Good,18,Good,0,Good,22,Good,3,-4.9408066,122.5275567,"-4.9408066, 122.5275567"
Indonesia,Demak,85,Moderate,1,Good,47,Good,1,Good,85,Moderate,0,-6.9229075,110.6350973,"-6.9229075, 110.6350973"
Indonesia,Klungkung,33,Good,1,Good,25,Good,0,Good,33,Good,3,-8.74565245,115.534745,"-8.74565245, 115.534745"
Indonesia,Tayu,100,Unhealthy for Sensitive Groups,2,Good,100,Unhealthy for Sensitive Groups,1,Good,89,Moderate,0,-6.534094,111.034118,"-6.534094, 111.034118"
Indonesia,Teluknaga,188,Unhealthy,4,Good,188,Unhealthy,3,Good,163,Unhealthy,4,-6.0536646,106.6578901,"-6.0536646, 106.6578901"
Indonesia,Krian,161,Unhealthy,3,Good,137,Unhealthy for Sensitive Groups,1,Good,161,Unhealthy,1,-7.41289,112.587185,"-7.41289, 112.587185"
Indonesia,Manggar,34,Good,0,Good,19,Good,0,Good,34,Good,3,-2.8672641,108.2759285,"-2.8672641, 108.2759285"
Indonesia,Mojokerto,150,Unhealthy,3,Good,91,Moderate,1,Good,150,Unhealthy,1,-7.54133775,112.5094975,"-7.54133775, 112.5094975"
Indonesia,Kualakapuas,71,Moderate,1,Good,11,Good,2,Good,71,Moderate,0,-2.980313,114.386299,"-2.980313, 114.386299"
Indonesia,Boyolangu,48,Good,1,Good,28,Good,0,Good,48,Good,3,-8.1192548,111.8937682,"-8.1192548, 111.8937682"
Indonesia,Tanete,57,Moderate,1,Good,23,Good,1,Good,57,Moderate,3,-2.869405,120.1671405,"-2.869405, 120.1671405"
Indonesia,Ngunut,51,Moderate,1,Good,26,Good,0,Good,51,Moderate,3,-7.9412788,110.5369729,"-7.9412788, 110.5369729"
Indonesia,Welahan,96,Moderate,2,Good,87,Moderate,2,Good,96,Moderate,0,-6.7785531,110.7203007,"-6.7785531, 110.7203007"
Indonesia,Muncar,37,Good,1,Good,24,Good,0,Good,37,Good,3,-8.4372524,114.3401241,"-8.4372524, 114.3401241"
Indonesia,Margahayu,98,Moderate,2,Good,73,Moderate,1,Good,98,Moderate,0,-6.2525019,107.0150659,"-6.2525019, 107.0150659"
Indonesia,Prambanan,55,Moderate,1,Good,27,Good,0,Good,55,Moderate,3,-7.7847888,110.4961947,"-7.7847888, 110.4961947"
Indonesia,Kabanjahe,22,Good,0,Good,18,Good,0,Good,22,Good,3,3.1009104,98.4891218,"3.1009104, 98.4891218"
